global_index	pos	token_id	token	valid	ib_conf_t	ib_conf_a	ib_conf_v	ib_conf_h	ib_conf_fused
7	0	2	[CLS]	1	0.50008446	0.50128305	0.50002253	0.49987000	0.50128305
7	1	1027	▁hold	1	0.50008446	0.50705129	0.50002253	0.49985707	0.50705129
7	2	30	▁that	1	0.50008446	0.50950074	0.50002253	0.49987000	0.50950074
7	3	289	▁thought	1	0.50008446	0.50740564	0.50002253	0.49985790	0.50740564
7	4	9	.	1	0.50008446	0.50740564	0.50002253	0.49985790	0.50740564
7	5	10975	▁hello	1	0.50008446	0.50636894	0.50002253	0.49985248	0.50636894
7	6	9	.	1	0.50008446	0.50636894	0.50002253	0.49985248	0.50636894
7	7	184	▁how	1	0.50008446	0.50743693	0.50002253	0.49985251	0.50743693
7	8	92	▁can	1	0.50008446	0.50762600	0.50002253	0.49986041	0.50762600
7	9	31	▁i	1	0.50008446	0.50810766	0.50002253	0.49985775	0.50810766
7	10	233	▁make	1	0.50008446	0.50765514	0.50121039	0.49985391	0.50765514
7	11	48	▁this	1	0.50008446	0.50658834	0.50002253	0.49987000	0.50658834
7	12	71	▁up	1	0.50008446	0.50758028	0.50002253	0.49985251	0.50758028
7	13	20	▁to	1	0.50008446	0.50721538	0.50002253	0.49985266	0.50721538
7	14	42	▁you	1	0.50008446	0.51614493	0.50002253	0.49985251	0.51614493
7	15	9	.	1	0.50008446	0.51614493	0.50002253	0.49985251	0.51614493
7	16	14	▁the	1	0.50008446	0.50696802	0.50002253	0.49985260	0.50696802
7	17	1623	▁answer	1	0.50008446	0.50916541	0.50073373	0.49985248	0.50916541
7	18	22	'	1	0.50008446	0.50916541	0.50073373	0.49985248	0.50916541
7	19	18	s	1	0.50008446	0.50916541	0.50073373	0.49985248	0.50916541
7	20	19	▁in	1	0.50008446	0.50766742	0.50002253	0.49985385	0.50766742
7	21	48	▁this	1	0.50008446	0.50790548	0.50002253	0.49987000	0.50790548
7	22	9164	▁puzzle	1	0.50008446	0.50790203	0.50025821	0.49985498	0.50790203
7	23	1649	▁box	1	0.50008446	0.51014900	0.50002253	0.49985796	0.51014900
7	24	408	▁let	1	0.50008446	0.50904626	0.50002253	0.49985251	0.50904626
7	25	22	'	1	0.50008446	0.50904626	0.50002253	0.49985251	0.50904626
7	26	18	s	1	0.50008446	0.50904626	0.50002253	0.49985251	0.50904626
7	27	196	▁see	1	0.50008446	0.50797474	0.50002253	0.49985969	0.50797474
7	28	100	▁if	1	0.50008446	0.50890160	0.50024211	0.49985307	0.50890160
7	29	42	▁you	1	0.50008446	0.50789404	0.50002253	0.49985251	0.50789404
7	30	92	▁can	1	0.50008446	0.51010686	0.50018382	0.49986041	0.51010686
7	31	368	▁open	1	0.50008446	0.50829542	0.50002253	0.49985617	0.50829542
7	32	32	▁it	1	0.50008446	0.50723624	0.50050563	0.49985251	0.50723624
7	33	9	.	1	0.50008446	0.50723624	0.50050563	0.49985251	0.50723624
7	34	42	▁you	1	0.50008446	0.51175326	0.50002253	0.49985251	0.51175326
7	35	110	▁could	1	0.50008446	0.51169884	0.50069660	0.49985641	0.51169884
7	36	57	▁have	1	0.50008446	0.50933999	0.50002253	0.49985799	0.50933999
7	37	35	▁at	1	0.50008446	0.50952303	0.50068855	0.49985260	0.50952303
7	38	639	▁least	1	0.50008446	0.50974452	0.50002253	0.49986526	0.50974452
7	39	6676	▁warned	1	0.50008446	0.50860858	0.50002253	0.49981377	0.50860858
7	40	61	▁him	1	0.50008446	0.50744087	0.50002253	0.49987000	0.50744087
7	41	88	▁about	1	0.50008446	0.50780171	0.50002253	0.49985251	0.50780171
7	42	14	▁the	1	0.50008446	0.51045895	0.50067985	0.49985260	0.51045895
7	43	6626	▁furniture	1	0.50008446	0.50849044	0.50002253	0.49986064	0.50849044
7	44	9	.	1	0.50008446	0.50849044	0.50002253	0.49986064	0.50849044
7	45	30	▁that	1	0.50008446	0.50776452	0.50002253	0.49987000	0.50776452
7	46	22	'	1	0.50008446	0.50776452	0.50002253	0.49987000	0.50776452
7	47	18	s	1	0.50008446	0.50776452	0.50002253	0.49987000	0.50776452
7	48	98	▁what	1	0.50008446	0.50779265	0.50002253	0.49985254	0.50779265
7	49	31	▁i	1	0.50008446	0.50851977	0.50002253	0.49985775	0.50851977
7	50	87	▁said	1	0.50008446	0.50869942	0.50002253	0.49986082	0.50869942
7	51	76	▁when	1	0.50008446	0.50783342	0.50066888	0.49985456	0.50783342
7	52	95	▁we	1	0.50008446	0.50938886	0.50002253	0.49985266	0.50938886
7	53	385	▁moved	1	0.50008446	0.51086092	0.50002253	0.49985451	0.51086092
7	54	32	▁it	1	0.50008446	0.51837564	0.50002253	0.49985251	0.51837564
7	55	9	.	1	0.50008446	0.51837564	0.50002253	0.49985251	0.51837564
7	56	42	▁you	1	0.50008446	0.51575303	0.50002253	0.49985251	0.51575303
7	57	1456	▁helped	1	0.50008446	0.51014173	0.50002253	0.49985480	0.51014173
7	58	61	▁him	1	0.50008446	0.51020831	0.50002253	0.49987000	0.51020831
7	59	3	[SEP]	1	0.50008446	0.50128305	0.50002253	0.49987000	0.50128305
7	60	90	▁no	1	0.50008446	0.50659287	0.50094587	0.49985251	0.50659287
7	61	6187	▁stuart	1	0.50008446	0.50833750	0.50002253	0.49985290	0.50833750
7	62	2114	▁picked	1	0.50008446	0.51143193	0.50002253	0.49985680	0.51143193
7	63	70	▁out	1	0.50008446	0.50762713	0.50002253	0.49985251	0.50762713
7	64	273	▁those	1	0.50008446	0.50743026	0.50002253	0.49987000	0.50743026
7	65	3814	▁throw	1	0.50008446	0.50796807	0.50131297	0.49981332	0.50796807
7	66	7633	▁pillow	1	0.50008446	0.50805837	0.50002253	0.49986261	0.50805837
7	67	18	s	1	0.50008446	0.50805837	0.50002253	0.49986261	0.50805837
7	68	65	▁all	1	0.50008446	0.50767219	0.50002253	0.49985272	0.50767219
7	69	27	▁on	1	0.50008446	0.50683779	0.50002253	0.49985385	0.50683779
7	70	33	▁his	1	0.50008446	0.50702065	0.50002253	0.49986976	0.50702065
7	71	258	▁own	1	0.50008446	0.50896418	0.50135440	0.49985251	0.50896418
7	72	9	.	1	0.50008446	0.50896418	0.50135440	0.49985251	0.50896418
7	73	3	[SEP]	1	0.50008446	0.50128305	0.50002253	0.49987000	0.50128305
7	74	0	<pad>	0	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
7	75	0	<pad>	0	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
7	76	0	<pad>	0	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
